id,question,correctoption,cognitivelevel,option_a,option_b,option_c,option_d,option_e,option_f,rationale
27,"Tras investigar una denuncia, ¿cuándo corresponde aplicar una sanción a la persona señalada?",A,Media,"Cuando la investigación, con debido proceso, determina que hubo una falta; la sanción debe ser proporcional al hecho probado","Siempre que se presente una denuncia, sin necesidad de investigarla","Nunca, porque sancionar contradice la confidencialidad del canal",Solo si la denuncia fue anónima y no tiene un responsable visible,"Solo cuando lo decide la gerencia, sin un análisis previo del caso",,"Recibir una denuncia no equivale a culpabilidad: la sanción solo procede cuando una investigación seria, con debido proceso y derecho de defensa, determina que efectivamente hubo una falta. Y debe ser proporcional a la gravedad del hecho probado. No todas las denuncias derivan en sanción —algunas no se confirman o corresponden a otro tipo de respuesta, como una medida correctiva o de remediación—, y eso no significa que el sistema falle: significa que actúa con justicia. Para Minsur, esta proporcionalidad y este rigor son los que dan legitimidad al canal y protegen tanto a quien denuncia como a quien es señalado. B atropella el debido proceso al sancionar sin investigar. C confunde confidencialidad con impunidad: proteger datos no impide sancionar una falta probada. D condiciona la sanción al anonimato, lo que es arbitrario. E elimina el análisis del caso, base de toda decisión justa."
28,El principio de confidencialidad en el tratamiento de denuncias implica que:,A,Media,"La identidad del denunciante y la información del caso se protegen y solo se comparten con quienes deben gestionarlo, resguardando la privacidad de los involucrados",El caso se publica para que toda la organización lo conozca,La información se comparte libremente con cualquier área que la pida,Se eliminan las evidencias una vez registrada la denuncia,Solo se protege la información si la denuncia resulta fundada,,"La confidencialidad es una garantía esencial para que las personas se animen a reportar. Significa que la identidad de quien denuncia y los datos del caso se protegen y se comparten únicamente con quienes deben investigarlo y resolverlo, resguardando también la privacidad de las personas señaladas mientras dure el proceso. No equivale a ocultar el caso ni a eliminar evidencias: la información se gestiona con reserva, no se destruye. En Minsur, la confidencialidad reduce el temor a la exposición y a las represalias, y por eso es una condición para que el canal funcione y la gente confíe en él. B y C contradicen la reserva: publicar o difundir libremente expone a las personas. D confunde confidencialidad con destrucción de pruebas, lo que sabotea la investigación. E condiciona la protección al resultado, cuando debe regir desde el inicio."
29,"Un colaborador quiere denunciar un caso de hostigamiento, pero teme perder su empleo por hacerlo. ¿Qué principio lo protege?",A,Alta,"La no represalia: nadie puede ser despedido, sancionado ni perjudicado por reportar de buena fe, y su denuncia debe poder hacerse sin temor",Solo puede denunciar si presenta pruebas irrefutables del hecho,Debe denunciar públicamente para que su reporte sea considerado válido,La empresa puede tomar represalias si la denuncia le resulta incómoda,Solo las jefaturas están autorizadas a usar el canal de denuncias,,"Para que un canal funcione, las personas deben poder usarlo sin miedo. Por eso rige el principio de no represalia: nadie puede ser despedido, sancionado, excluido ni perjudicado por reportar de buena fe una posible falta. Denunciar 'de buena fe' significa hacerlo con la convicción honesta de que algo está mal, aunque la investigación luego no lo confirme. Junto con la confidencialidad, la no represalia anima a reportar y permite detectar problemas a tiempo. En Minsur, proteger a quien alza la voz es parte esencial de una cultura de integridad: tomar represalias es, en sí mismo, una falta grave. B impone una barrera indebida: no se exige prueba irrefutable para reportar de buena fe. C expone innecesariamente al denunciante; la denuncia no requiere ser pública. D describe justamente lo prohibido. E excluye a la mayoría, cuando el canal debe ser accesible para todos."
30,"Cuando se confirma que la empresa causó o contribuyó a un impacto negativo sobre los Derechos Humanos, la respuesta correcta es:",A,Baja,"Remediar: reparar o contribuir a reparar el daño mediante disculpas, restitución, compensación, rehabilitación y garantías de no repetición","Cerrar el caso sin más, si la persona afectada no vuelve a insistir",Trasladar toda la responsabilidad a un tercero de la cadena,Esperar una orden judicial firme antes de tomar cualquier acción,Limitarse a registrar el caso internamente y no hacer nada más,,"El acceso a la remediación es el tercer pilar de los Principios Rectores. Cuando una empresa causa o contribuye a un impacto negativo, tiene la responsabilidad de remediarlo, es decir, de reparar o contribuir a reparar el daño causado a las personas afectadas. La remediación puede tomar varias formas: disculpas, restitución, rehabilitación, compensación económica, medidas de satisfacción y, muy importante, garantías de no repetición para evitar que el daño vuelva a ocurrir. Para Minsur, remediar de forma oportuna y proporcional demuestra un compromiso real, restaura la confianza con personas y comunidades, y cierra el ciclo de la debida diligencia. B abandona a la persona afectada. C evade la responsabilidad propia. D es pasivo: no se requiere una orden judicial para reparar un daño confirmado. E es insuficiente: registrar no es remediar."
31,"En un proceso de selección, dos personas tienen el mismo mérito. Un evaluador propone descartar a la candidata mujer 'porque podría tomar licencia por maternidad'. Esto constituye:",A,Alta,"Discriminación por género: la decisión debe basarse en el mérito y las competencias, no en una condición personal protegida como la maternidad",Una decisión válida de eficiencia operativa para el área,Una medida aceptable de prevención de costos para la empresa,Un criterio técnico y objetivo de selección de personal,Una práctica recomendable siempre que la apruebe la jefatura,,"Descartar a una candidata por la posibilidad de una futura maternidad es discriminación por género, una de las formas de discriminación expresamente prohibidas. La maternidad —o su mera posibilidad— no es un criterio técnico ni de desempeño; es una condición personal protegida. Las decisiones de selección deben basarse en el mérito, las competencias y la idoneidad para el puesto, garantizando igualdad de oportunidades. Razonamientos como 'podría faltar' o 'podría embarazarse' vulneran derechos, exponen a Minsur a sanciones y dañan su cultura. Ante el mismo mérito, la decisión debe ser objetiva y libre de sesgos; quien lo advierte debe corregir el criterio o escalarlo. B, C, D y E intentan justificar la discriminación disfrazándola de eficiencia, ahorro o criterio técnico. Ninguna lo es: todas se basan en una condición personal protegida, y la aprobación de una jefatura no legitima una práctica discriminatoria."
32,"Para cumplir un plazo, una supervisión decide enviar a un grupo de contratistas a una tarea de riesgo sin la capacitación de seguridad obligatoria. Desde el enfoque de Derechos Humanos, esto:",A,Alta,Genera un riesgo a la vida y la integridad de las personas; la tarea debe detenerse hasta capacitar y proteger adecuadamente,"No genera ningún riesgo, porque los contratistas asumen su propia seguridad",Es aceptable porque cumplir el plazo es la prioridad de la operación,Es solo un requisito administrativo sin consecuencias reales,"No corresponde a Minsur, ya que se trata de personal contratista",,"Enviar a personas a una tarea de riesgo sin la capacitación de seguridad obligatoria las expone a un daño grave y evitable, vulnerando su derecho a la vida y a la integridad. Que sean contratistas no cambia nada: forman parte del entorno de la operación y Minsur tiene responsabilidad sobre los impactos vinculados a su actividad. La presión por cumplir un plazo nunca justifica omitir controles de seguridad. Lo correcto es detener la tarea, brindar la capacitación y la protección necesarias y recién entonces ejecutarla. Aquí la seguridad ocupacional y los Derechos Humanos se encuentran: prevenir el daño es la prioridad. B traslada indebidamente el riesgo al contratista. C subordina la vida al plazo, lo que es inaceptable. D minimiza la capacitación como mero trámite. E desconoce la responsabilidad de la empresa sobre los impactos en su cadena."
33,"Un proveedor no autorizado ofrece un servicio a bajo costo, pero se detecta que sus prácticas contaminan una fuente de agua cercana a una comunidad. ¿Qué corresponde hacer?",A,Alta,"Rechazar la contratación y reportar la situación por los canales internos, por el riesgo de impacto a la salud y al agua de la comunidad",Aceptar el servicio por su bajo costo y observar qué ocurre con el tiempo,Aceptar y delegar el problema ambiental enteramente en el proveedor,Aceptar siempre que ayude a cumplir el presupuesto del periodo,Ignorar el caso porque la contaminación ocurre fuera del cerco de la mina,,"Contratar a un proveedor cuyas prácticas contaminan una fuente de agua expondría a Minsur a estar vinculada a un impacto sobre derechos de la comunidad —salud, agua y medio ambiente sano—. El bajo costo no compensa ese riesgo. Lo correcto es no contratar y reportar la situación por los canales internos, para que se evalúe y gestione. Que el daño ocurra fuera del cerco no exime de responsabilidad: el impacto se originaría en una relación comercial de la empresa. Este es justo el tipo de riesgo que la debida diligencia en la cadena de suministro busca prevenir antes de que se materialice. B y D aceptan el riesgo o lo delegan, contradiciendo la debida diligencia. C subordina los derechos al presupuesto. E evade la responsabilidad porque el daño ocurre fuera del cerco, ignorando la vinculación por la relación comercial."
34,"Tras presentar una denuncia de buena fe por el canal, a un trabajador su jefatura lo empieza a excluir de reuniones y le asigna solo tareas irrelevantes. Esta conducta de la jefatura es:",A,Alta,"Una represalia prohibida contra el denunciante, que en sí misma constituye una nueva falta y debe reportarse",Una decisión de gestión normal que no tiene relación con la denuncia,Una consecuencia esperable y aceptable de haber denunciado,Una medida válida mientras se investiga la denuncia presentada,"Un asunto privado entre la jefatura y el trabajador, ajeno a la empresa",,"Excluir a alguien, marginarlo o asignarle deliberadamente tareas irrelevantes después de que denunció de buena fe es una represalia: una acción que lo perjudica por haber usado el canal. Las represalias están expresamente prohibidas porque destruyen la confianza en el sistema y disuaden a otros de reportar. Lo importante es que la represalia es, en sí misma, una nueva falta: no se justifica por estar en curso una investigación ni es un 'asunto privado'. En Minsur, quien sufre o detecta una represalia debe reportarla, y la empresa debe protegerlo y sancionar la conducta de quien tomó represalia. B y E niegan o privatizan la represalia, desconociendo su gravedad. C la normaliza como 'esperable', justo lo contrario de lo que protege el sistema. D la disfraza de medida temporal, cuando ninguna investigación habilita perjudicar al denunciante."
35,"Durante una protesta pacífica de pobladores cerca de la operación, el personal de seguridad pregunta cómo debe actuar conforme a los Derechos Humanos. La respuesta correcta es:",A,Alta,"Privilegiar el diálogo y la desescalada; el uso de la fuerza solo es admisible como último recurso, proporcional y respetando la integridad de las personas",Reprimir de inmediato la protesta para despejar la zona cuanto antes,"Permitir que la seguridad actúe sin ninguna regla, según su criterio",Ignorar la protesta y dejar que escale por sí sola sin intervención,Detener a los manifestantes para evitar cualquier inconveniente,,"La gestión de la seguridad en torno a una operación minera debe respetar los Derechos Humanos de todas las personas, incluidas las que protestan. El estándar internacional —recogido en los Principios Voluntarios de Seguridad y Derechos Humanos— prioriza el diálogo, la prevención y la desescalada; el uso de la fuerza solo se admite como último recurso, debe ser proporcional y necesario, y nunca puede vulnerar la integridad ni la vida. Reprimir, actuar sin reglas o detener arbitrariamente a manifestantes pacíficos vulnera derechos como la libertad de expresión, la reunión pacífica y la integridad. Para Minsur, capacitar a su personal de seguridad en estos principios es parte de su debida diligencia. B y E recurren a la represión o la detención arbitraria frente a una protesta pacífica, vulnerando derechos. C deja la fuerza sin reglas, contrario a la proporcionalidad. D omite la responsabilidad de gestionar la situación de forma preventiva y dialogada."
36,"Una comunidad vecina reclama que el polvo y el uso de agua de la operación estarían afectando su salud y sus cultivos. Desde el enfoque de Derechos Humanos, esto es:",A,Alta,"Un posible impacto a derechos (salud, agua y medio ambiente sano) que debe identificarse, dialogarse y gestionarse con el mecanismo de reclamación y planes de mitigación",Un asunto exclusivamente de relaciones públicas e imagen,Un problema que se resuelve ignorándolo hasta que la comunidad deje de reclamar,Una cuestión ajena a la empresa por ocurrir fuera del cerco de la mina,Un tema que solo le compete al Estado y no a la operación,,"El reclamo de la comunidad señala posibles impactos sobre derechos como la salud, el acceso al agua y un medio ambiente sano. Desde el enfoque de Derechos Humanos no es un problema de imagen ni algo que pueda ignorarse: Minsur debe identificar y evaluar el impacto real o potencial, abrir un diálogo de buena fe con la comunidad afectada, canalizar el reclamo a través de su mecanismo de reclamación y aplicar planes de mitigación o reparación si corresponde. Las comunidades del entorno son titulares de derechos legítimos, y atender sus reclamos de forma temprana previene conflictos y daños mayores, además de construir confianza. B reduce un impacto en derechos a comunicación. C agrava el daño al ignorarlo. D evade la responsabilidad: el impacto se origina en la operación, aunque ocurra fuera del cerco. E delega indebidamente: la empresa también tiene responsabilidad de respetar y remediar."
37,¿Cuál es el propósito principal de este curso de Derechos Humanos en Minsur?,A,Baja,"Que cada persona comprenda qué son los DDHH y cómo Minsur los respeta, para aplicarlos en su trabajo diario",Memorizar de forma teórica todos los artículos de la normativa internacional,Aprobar un examen técnico para obtener un certificado y nada más,Conocer únicamente casos legales y sentencias judiciales históricas,Reducir los tiempos operativos y aumentar la productividad del área,,"El curso no busca un aprendizaje meramente teórico ni un trámite para certificarse: su propósito es que cada colaborador y contratista comprenda qué son los Derechos Humanos, cuál es el rol y el compromiso de Minsur, y —sobre todo— cómo aplicar ese conocimiento en su trabajo diario. Eso incluye reconocer riesgos e impactos, saber cómo y dónde reportar, y actuar con respeto hacia compañeros, contratistas y comunidades. El valor del curso se mide en decisiones concretas: identificar a tiempo una situación sensible y canalizarla bien es el resultado de aprendizaje que se espera. B y D reducen el curso a memorización o a casos legales, ignorando su enfoque aplicado. C lo limita a aprobar un examen, vaciándolo de propósito. E le atribuye un fin de productividad ajeno a los Derechos Humanos."
38,Se dice que los Derechos Humanos se fundan en la 'dignidad humana'. ¿Qué significa esto?,A,Baja,"Que toda persona tiene un valor intrínseco por el solo hecho de ser humana, que debe respetarse siempre y no depende de su utilidad, cargo o conducta",Que la dignidad se gana con el esfuerzo y el buen desempeño en el trabajo,Que solo tienen dignidad quienes cumplen las normas de la empresa,Que la dignidad la otorga el Estado mediante un documento de identidad,Que la dignidad depende del nivel socioeconómico de cada persona,,"La dignidad humana es la base de todos los Derechos Humanos: significa que cada persona tiene un valor propio e inherente por el solo hecho de existir, que merece respeto en todo momento y que no puede ser tratada como un simple medio. Ese valor no se gana ni se pierde: no depende del cargo, del rendimiento, de la nacionalidad ni de la conducta. En Minsur, reconocer la dignidad de colaboradores, contratistas y miembros de las comunidades implica tratarlos siempre con respeto, escuchar sus reclamos y no instrumentalizarlos. Es el principio que da sentido a todos los demás derechos. B y C condicionan la dignidad al desempeño o al cumplimiento de normas, negando su carácter inherente. D la confunde con un trámite estatal. E la hace depender del nivel socioeconómico, lo que contradice la igualdad en dignidad de todas las personas."
39,Que los Derechos Humanos sean 'indivisibles e interdependientes' quiere decir que:,A,Media,"Todos los derechos están conectados y son igualmente importantes; vulnerar uno suele afectar a otros, por lo que no pueden jerarquizarse a conveniencia","Solo importan los derechos civiles, y los demás son secundarios",Cada empresa puede elegir qué derechos respeta y cuáles ignora,"Los derechos se aplican de a uno, sin relación entre ellos",Los derechos económicos siempre prevalecen sobre los demás,,"La indivisibilidad e interdependencia significan que los Derechos Humanos forman un todo: no hay derechos de primera y de segunda categoría, y la afectación de uno repercute en los demás. Por ejemplo, contaminar una fuente de agua (medio ambiente) afecta la salud, la alimentación y hasta la vida de una comunidad. Por eso una empresa no puede 'elegir' respetar unos derechos y descuidar otros según su conveniencia. Para Minsur, esta visión integral evita mirar los impactos de forma aislada: un problema ambiental, laboral o de seguridad casi siempre es, a la vez, un asunto de varios derechos entrelazados. B jerarquiza los derechos, contradiciendo la indivisibilidad. C autoriza un respeto selectivo, prohibido. D niega la interdependencia. E impone una prevalencia económica que no existe en el marco de DDHH."
40,El 'deber de proteger' del Estado y la 'responsabilidad de respetar' de la empresa son distintos. ¿En qué se diferencian?,A,Media,"El Estado debe proteger a las personas frente a abusos (incluidos los de empresas) mediante leyes y políticas; la empresa debe respetar, es decir, no vulnerar y gestionar sus propios impactos",Son exactamente lo mismo expresado con palabras diferentes,"La empresa protege y el Estado solo respeta, sin más obligaciones",Ninguno de los dos tiene obligaciones concretas en la práctica,El deber del Estado desaparece cuando una empresa opera en su territorio,,"Los Principios Rectores distinguen con claridad dos roles complementarios. El Estado tiene el deber de proteger: debe prevenir, investigar y sancionar los abusos a los Derechos Humanos —incluidos los cometidos por empresas— mediante leyes, fiscalización y acceso a la justicia. La empresa tiene la responsabilidad de respetar: no causar ni contribuir a impactos negativos y gestionar los que estén vinculados a su actividad. No se sustituyen ni se anulan: ambos coexisten. Para Minsur, entender esto evita dos errores frecuentes: creer que la responsabilidad propia 'la cubre el Estado', o pretender que la empresa asuma funciones estatales que no le corresponden. B borra una distinción esencial del marco. C invierte los roles. D niega que existan obligaciones reales. E afirma falsamente que el deber estatal cesa, cuando coexiste con la responsabilidad empresarial."
41,"En una operación minera, ¿cuáles suelen ser riesgos relevantes (salientes) en Derechos Humanos que la debida diligencia debe priorizar?",A,Media,"Seguridad y salud de trabajadores y contratistas, impactos a comunidades (agua, tierra, reasentamiento), trabajo forzoso o infantil en la cadena y uso de la fuerza por seguridad",Únicamente el cumplimiento de las metas de producción mensuales,Solo la rentabilidad y la reputación frente a los inversionistas,Solo los trámites administrativos y la documentación interna,Solo los conflictos entre áreas dentro de la propia empresa,,"La debida diligencia debe concentrarse en los riesgos más severos y probables para las personas, los llamados riesgos 'salientes'. En minería estos suelen incluir: la seguridad y salud de trabajadores y contratistas; los impactos a comunidades por el uso de agua y tierra, el polvo o eventuales reasentamientos; riesgos de trabajo forzoso o infantil en la cadena de proveedores; y el uso de la fuerza por parte del personal de seguridad. Identificar estos riesgos propios del sector permite a Minsur enfocar sus esfuerzos donde el daño potencial a las personas es mayor, en lugar de dispersarlos. B, C, D y E miran el negocio o la administración (producción, rentabilidad, trámites, conflictos internos), no los impactos sobre las personas, que es el criterio para identificar riesgos salientes en DDHH."
42,"Durante una evaluación, se detecta la posible presencia de trabajo infantil en un proveedor de la cadena. ¿Cómo debe entenderse y actuar?",A,Media,"Es un impacto grave a los Derechos Humanos que debe abordarse con responsabilidad: verificar, exigir su remediación y proteger al menor, sin un retiro abrupto que lo perjudique aún más","Es un asunto exclusivo del proveedor, ajeno por completo a la empresa",Es aceptable si la legislación local lo tolera en la práctica,Se resuelve cancelando el contrato de inmediato y sin más gestiones,No es un problema mientras no afecte la calidad del producto,,"El trabajo infantil es una vulneración grave de los Derechos Humanos y está prohibido por los Convenios de la OIT. Si se detecta en la cadena, la empresa no puede desentenderse 'porque es del proveedor': está vinculada al impacto y debe usar su influencia para que cese. La respuesta responsable combina verificar el caso, exigir un plan de remediación y, sobre todo, proteger el interés superior del niño o niña; un retiro brusco sin medidas de protección puede empujarlo a una situación peor. Para Minsur, evaluar y exigir estándares a sus proveedores es la forma de prevenir y abordar este riesgo. B niega la responsabilidad sobre la cadena. C invoca la tolerancia local para justificar lo prohibido. D propone una salida abrupta que puede dañar más al menor, sin remediación. E subordina un derecho humano a la calidad del producto."
43,"Para evaluar correctamente sus impactos en Derechos Humanos, una empresa debe, idealmente:",A,Media,"Consultar y escuchar a las personas potencialmente afectadas (trabajadores, contratistas y comunidades), porque ellas conocen mejor los impactos reales","Decidir sola, en gabinete, sin consultar a nadie externo",Basarse únicamente en informes financieros del periodo,Esperar a que aparezcan denuncias formales para recién evaluar,Consultar solo a sus accionistas y directivos,,"La evaluación de impactos no debe hacerse solo desde el escritorio: los Principios Rectores recomiendan consultar de manera significativa a las personas potencialmente afectadas y a otras partes interesadas, porque son quienes mejor conocen cómo la operación incide en sus vidas. Escuchar a trabajadores, contratistas y comunidades —con especial atención a grupos vulnerables— permite identificar impactos que de otro modo pasarían inadvertidos y construir confianza. Para Minsur, el diálogo temprano y genuino con su entorno es parte de una debida diligencia seria: previene conflictos, mejora las decisiones y demuestra respeto por quienes pueden verse afectados. B y C aíslan la evaluación de las personas afectadas (gabinete, finanzas). D es reactivo: esperar denuncias contradice la prevención. E limita la consulta a accionistas, omitiendo precisamente a quienes sufren los impactos."
44,"En una investigación por denuncia, ¿qué derecho asiste también a la persona señalada?",A,Media,"El debido proceso: ser informada de manera apropiada, poder dar su versión y ser tratada como inocente hasta que la investigación concluya",Ninguno; basta la denuncia para considerarla culpable,El derecho a conocer de inmediato la identidad de quien la denunció,El derecho a frenar la investigación si no está de acuerdo,El derecho a sancionar por su cuenta al denunciante,,"Un sistema justo protege tanto a quien denuncia como a quien es señalado. La persona investigada tiene derecho al debido proceso: ser informada en el momento oportuno de la investigación, poder presentar su versión y sus descargos, y ser tratada bajo presunción de inocencia hasta que el análisis determine si hubo o no una falta. Esto no debilita el canal: lo legitima, porque garantiza decisiones basadas en hechos y no en señalamientos. Para Minsur, equilibrar la protección del denunciante con el debido proceso del señalado es lo que hace que las conclusiones —y las eventuales sanciones— sean justas y sostenibles. B vulnera la presunción de inocencia. C choca con la confidencialidad del denunciante: conocer su identidad no es un derecho del señalado. D y E le otorgan facultades improcedentes (frenar la investigación o sancionar), ajenas al debido proceso."
45,"Una investigación confirma que, por un error de la operación, una familia de la comunidad sufrió un daño real a su fuente de agua. ¿Cuál es la actuación correcta de la empresa?",A,Alta,"Reconocer el impacto, contribuir a repararlo (por ejemplo, restituir o compensar el daño) y adoptar medidas para que no se repita, manteniendo el diálogo con la familia",Negar el hecho públicamente para proteger la imagen de la empresa,Ofrecer un pago a cambio de que la familia no vuelva a hablar del tema,Esperar a que la familia inicie un juicio antes de hacer cualquier cosa,Considerar el caso cerrado porque ya fue investigado y registrado,,"Cuando se confirma que la operación causó o contribuyó a un daño real, se activa el deber de remediar. La actuación correcta combina tres cosas: reconocer el impacto con honestidad, reparar o contribuir a reparar el daño —por ejemplo restituyendo la fuente de agua o compensando de forma justa— y adoptar garantías de no repetición, todo ello manteniendo un diálogo respetuoso con la familia afectada. Negar el hecho, comprar el silencio o esperar un juicio no son remediación: erosionan la confianza y agravan el conflicto. Para Minsur, remediar bien restaura la relación con la comunidad y cierra el ciclo de la debida diligencia. B niega el daño confirmado. C condiciona el pago al silencio, lo que es una práctica indebida, no una remediación. D traslada la acción a un juicio futuro, evadiendo el deber de reparar. E confunde investigar con remediar: registrar no repara el daño."
46,Un trabajador comenta que evita asignar tareas de responsabilidad a colegas de cierta comunidad de origen 'porque no son confiables'. Esta actitud es:,A,Alta,"Discriminación por origen étnico: un prejuicio que vulnera la igualdad; las asignaciones deben basarse en competencias y desempeño, no en estereotipos",Una opinión personal legítima que no afecta a nadie,Una práctica razonable de gestión de equipos,Un criterio técnico válido para repartir el trabajo,Un asunto cultural que la empresa no debe cuestionar,,"Asignar o negar tareas según el origen étnico de las personas es discriminación basada en un estereotipo, no en hechos. Vulnera el principio de igualdad y no discriminación y daña a las personas afectadas y al clima del equipo. Las decisiones sobre responsabilidades deben fundarse en las competencias, la experiencia y el desempeño real, evaluados por igual para todos. En Minsur, donde conviven personas de diversas comunidades y orígenes, este tipo de prejuicio debe identificarse y corregirse: no es una 'opinión inofensiva' ni un criterio técnico, sino una conducta que la empresa debe abordar mediante sensibilización y, si persiste, los mecanismos correspondientes. B minimiza el prejuicio como opinión inofensiva, cuando sí afecta a personas. C y D lo disfrazan de gestión o criterio técnico, pero se basa en un estereotipo. E pretende blindarlo como 'cultural', cuando la empresa sí debe corregir la discriminación."
47,"Dentro del ciclo de debida diligencia, 'comunicar o rendir cuentas' sobre cómo se gestionan los impactos sirve para:",A,Baja,"Demostrar de forma transparente que la empresa conoce sus impactos y actúa frente a ellos, generando confianza en trabajadores, comunidades y otras partes interesadas",Cumplir un requisito de marketing sin sustento real,Ocultar los problemas detectados para no preocupar a nadie,Sustituir las acciones concretas por simples informes,Informar únicamente a los accionistas sobre las utilidades,,"El último paso del ciclo de debida diligencia es comunicar: dar cuenta, de forma transparente y comprensible, de cuáles son los impactos identificados y qué está haciendo la empresa para prevenirlos, mitigarlos o remediarlos. Rendir cuentas no es propaganda ni un sustituto de la acción: es mostrar con evidencia que la gestión existe y funciona, especialmente ante las personas afectadas. Para Minsur, comunicar sus avances y dificultades en Derechos Humanos —por ejemplo en reportes de sostenibilidad o en el diálogo con comunidades— construye confianza y permite que terceros verifiquen y aporten a la mejora. La transparencia es parte del respeto. B y C distorsionan el fin: comunicar no es marketing ni ocultamiento. D confunde informar con actuar: la comunicación acompaña, no reemplaza, las acciones. E reduce la rendición de cuentas a las utilidades para accionistas, omitiendo a las partes afectadas."
